timestamp_ms,thread,event,preempt_count
11017038,Flight,START,0
11017038,Flight,END,0
11017038,Emergency,WAITING,0
11017038,Network,START,0
11017048,Flight,START,0
11017048,Flight,END,0
11017058,Flight,START,0
11017058,Flight,END,0
11017068,Flight,START,0
11017068,Flight,END,0
11017078,Flight,START,0
11017078,Flight,END,0
11017088,Flight,START,0
11017088,Flight,END,0
11017098,Flight,START,0
11017098,Flight,END,0
11017108,Flight,START,0
11017108,Flight,END,0
11017118,Flight,START,0
11017118,Flight,END,0
11017128,Flight,START,0
11017128,Flight,END,0
11017138,Flight,START,0
11017138,Flight,END,0
11017148,Flight,START,0
11017148,Flight,END,0
11017158,Flight,START,0
11017158,Flight,END,0
11017168,Flight,START,0
11017168,Flight,END,0
11017178,Flight,START,0
11017178,Flight,END,0
11017188,Flight,START,0
11017188,Flight,END,0
11017198,Flight,START,0
11017198,Flight,END,0
11017208,Flight,START,0
11017208,Flight,END,0
11017218,Flight,START,0
11017218,Flight,END,0
11017228,Flight,START,0
11017228,Flight,END,0
11017238,Flight,START,0
11017238,Flight,END,0
11017248,Flight,START,0
11017248,Flight,END,0
11017258,Flight,START,0
11017258,Flight,END,0
11017268,Flight,START,0
11017268,Flight,END,0
11017278,Flight,START,0
11017278,Flight,END,0
11017288,Flight,START,0
11017288,Flight,END,0
11017298,Flight,START,0
11017298,Flight,END,0
11017308,Flight,START,0
11017308,Flight,END,0
11017318,Flight,START,0
11017318,Flight,END,0
11017328,Flight,START,0
11017328,Flight,END,0
11017338,Flight,START,0
11017338,Flight,END,0
11017348,Flight,START,0
11017348,Flight,END,0
11017358,Flight,START,0
11017358,Flight,END,0
11017368,Flight,START,0
11017368,Flight,END,0
11017378,Flight,START,0
11017378,Flight,END,0
11017388,Flight,START,0
11017388,Flight,END,0
11017398,Flight,START,0
11017398,Flight,END,0
11017408,Flight,START,0
11017408,Flight,END,0
11017418,Flight,START,0
11017418,Flight,END,0
11017428,Flight,START,0
11017428,Flight,END,0
11017438,Flight,START,0
11017438,Flight,END,0
11017448,Flight,START,0
11017448,Flight,END,0
11017458,Flight,START,0
11017458,Flight,END,0
11017468,Flight,START,0
11017468,Flight,END,0
11017478,Flight,START,0
11017478,Flight,END,0
11017488,Flight,START,0
11017488,Flight,END,0
11017498,Flight,START,0
11017498,Flight,END,0
11017508,Flight,START,0
11017508,Flight,END,0
11017518,Flight,START,0
11017518,Flight,END,0
11017528,Flight,START,0
11017528,Flight,END,0
11017538,Flight,START,0
11017538,Flight,END,0
11017548,Flight,START,0
11017548,Flight,END,0
11017558,Flight,START,0
11017558,Flight,END,0
11017568,Flight,START,0
11017568,Flight,END,0
11017578,Flight,START,0
11017578,Flight,END,0
11017588,Flight,START,0
11017588,Flight,END,0
11017598,Flight,START,0
11017598,Flight,END,0
11017608,Flight,START,0
11017608,Flight,END,0
11017618,Flight,START,0
11017618,Flight,END,0
11017625,Vision,START,0
11017628,Flight,START,0
11017628,Flight,END,0
11017638,Flight,START,0
11017638,Flight,END,0
11017643,Vision,PREEMPTED,2
11017648,Flight,START,0
11017648,Flight,END,0
11017658,Flight,START,0
11017658,Flight,END,0
11017668,Flight,START,0
11017668,Flight,END,0
11017678,Flight,START,0
11017678,Flight,END,0
11017688,Flight,START,0
11017688,Flight,END,0
11017698,Flight,START,0
11017698,Flight,END,0
11017708,Flight,START,0
11017708,Flight,END,0
11017718,Flight,START,0
11017718,Flight,END,0
11017728,Flight,START,0
11017728,Flight,END,0
11017738,Flight,START,0
11017738,Flight,END,0
11017739,Vision,PREEMPTED,3
11017743,Vision,PREEMPTED,4
11017748,Flight,START,0
11017748,Flight,END,0
11017752,Vision,PREEMPTED,6
11017758,Flight,START,0
11017758,Flight,END,0
11017761,Vision,PREEMPTED,8
11017768,Flight,START,0
11017768,Flight,END,0
11017770,Vision,PREEMPTED,9
11017774,Vision,PREEMPTED,10
11017778,Flight,START,0
11017778,Flight,END,0
11017778,Vision,PREEMPTED,11
11017783,Vision,PREEMPTED,12
11017788,Flight,START,0
11017788,Flight,END,0
11017793,Vision,PREEMPTED,14
11017798,Flight,START,0
11017798,Flight,END,0
11017804,Vision,PREEMPTED,16
11017808,Flight,START,0
11017808,Flight,END,0
11017809,Vision,PREEMPTED,17
11017814,Vision,PREEMPTED,18
11017818,Flight,START,0
11017818,Flight,END,0
11017819,Vision,PREEMPTED,19
11017823,Vision,PREEMPTED,20
11017828,Flight,START,0
11017828,Flight,END,0
11017828,Vision,PREEMPTED,21
11017834,Vision,PREEMPTED,22
11017838,Flight,START,0
11017838,Flight,END,0
11017839,Vision,PREEMPTED,23
11017843,Vision,PREEMPTED,24
11017848,Flight,START,0
11017848,Flight,END,0
11017848,Vision,PREEMPTED,25
11017853,Vision,PREEMPTED,26
11017858,Flight,START,0
11017858,Flight,END,0
11017862,Vision,PREEMPTED,28
11017868,Flight,START,0
11017868,Flight,END,0
11017870,Vision,PREEMPTED,29
11017874,Vision,PREEMPTED,30
11017878,Flight,START,0
11017878,Flight,END,0
11017879,Vision,PREEMPTED,31
11017883,Vision,PREEMPTED,32
11017888,Flight,START,0
11017888,Flight,END,0
11017891,Vision,PREEMPTED,34
11017898,Flight,START,0
11017898,Flight,END,0
11017901,Vision,PREEMPTED,35
11017905,Vision,PREEMPTED,36
11017908,Flight,START,0
11017908,Flight,END,0
11017910,Vision,PREEMPTED,37
11017915,Vision,PREEMPTED,38
11017918,Flight,START,0
11017918,Flight,END,0
11017920,Vision,PREEMPTED,39
11017925,Vision,PREEMPTED,40
11017928,Flight,START,0
11017928,Flight,END,0
11017930,Vision,PREEMPTED,41
11017934,Vision,PREEMPTED,42
11017938,Flight,START,0
11017938,Flight,END,0
11017939,Vision,PREEMPTED,43
11017943,Vision,PREEMPTED,44
11017948,Flight,START,0
11017948,Flight,END,0
11017951,Vision,PREEMPTED,46
11017958,Flight,START,0
11017958,Flight,END,0
11017961,Vision,PREEMPTED,47
11017968,Flight,START,0
11017968,Flight,END,0
11017971,Vision,PREEMPTED,48
11017975,Vision,PREEMPTED,49
11017978,Flight,START,0
11017978,Flight,END,0
11017980,Vision,PREEMPTED,50
11017984,Vision,PREEMPTED,51
11017988,Flight,START,0
11017988,Flight,END,0
11017988,Vision,PREEMPTED,52
11017993,Vision,PREEMPTED,53
11017998,Flight,START,0
11017998,Flight,END,0
11018002,Vision,PREEMPTED,55
11018008,Flight,START,0
11018008,Flight,END,0
11018011,Vision,PREEMPTED,56
11018018,Flight,START,0
11018018,Flight,END,0
11018021,Vision,PREEMPTED,57
11018026,Vision,PREEMPTED,58
11018028,Flight,START,0
11018028,Flight,END,0
11018031,Vision,PREEMPTED,59
11018036,Vision,PREEMPTED,60
11018038,Flight,START,0
11018038,Flight,END,0
11018042,Vision,PREEMPTED,62
11018048,Flight,START,0
11018048,Flight,END,0
11018052,Vision,PREEMPTED,64
11018058,Flight,START,0
11018058,Flight,END,0
11018058,Vision,PREEMPTED,65
11018064,Vision,PREEMPTED,66
11018068,Flight,START,0
11018068,Flight,END,0
11018070,Vision,PREEMPTED,67
11018075,Vision,PREEMPTED,68
11018078,Flight,START,0
11018078,Flight,END,0
11018080,Vision,PREEMPTED,69
11018085,Vision,PREEMPTED,70
11018088,Flight,START,0
11018088,Flight,END,0
11018089,Vision,PREEMPTED,71
11018095,Vision,PREEMPTED,72
11018098,Flight,START,0
11018098,Flight,END,0
11018100,Vision,PREEMPTED,73
11018105,Vision,PREEMPTED,74
11018108,Flight,START,0
11018108,Flight,END,0
11018110,Vision,PREEMPTED,75
11018115,Vision,PREEMPTED,76
11018118,Flight,START,0
11018118,Flight,END,0
11018120,Vision,PREEMPTED,77
11018126,Vision,PREEMPTED,78
11018128,Flight,START,0
11018128,Flight,END,0
11018131,Vision,PREEMPTED,79
11018137,Vision,PREEMPTED,80
11018138,Flight,START,0
11018138,Flight,END,0
11018143,Vision,PREEMPTED,82
11018148,Flight,START,0
11018148,Flight,END,0
11018153,Vision,PREEMPTED,83
11018158,Flight,START,0
11018158,Flight,END,0
11018158,Vision,PREEMPTED,84
11018164,Vision,PREEMPTED,85
11018168,Flight,START,0
11018168,Flight,END,0
11018169,Vision,PREEMPTED,86
11018174,Vision,PREEMPTED,87
11018178,Flight,START,0
11018178,Flight,END,0
11018179,Vision,PREEMPTED,88
11018184,Vision,PREEMPTED,89
11018188,Flight,START,0
11018188,Flight,END,0
11018189,Vision,PREEMPTED,90
11018193,Vision,PREEMPTED,91
11018198,Flight,START,0
11018198,Flight,END,0
11018207,Vision,PREEMPTED,92
11018208,Flight,START,0
11018208,Flight,END,0
11018212,Vision,PREEMPTED,93
11018216,Vision,PREEMPTED,94
11018218,Flight,START,0
11018218,Flight,END,0
11018221,Vision,PREEMPTED,95
11018225,Vision,PREEMPTED,96
11018228,Flight,START,0
11018228,Flight,END,0
11018230,Vision,PREEMPTED,97
11018234,Vision,PREEMPTED,98
11018238,Flight,START,0
11018238,Flight,END,0
11018239,Vision,PREEMPTED,99
11018243,Vision,PREEMPTED,100
11018248,Flight,START,0
11018248,Flight,END,0
11018257,Vision,PREEMPTED,101
11018258,Flight,START,0
11018258,Flight,END,0
11018262,Vision,PREEMPTED,102
11018267,Vision,PREEMPTED,103
11018268,Flight,START,0
11018268,Flight,END,0
11018271,Vision,PREEMPTED,104
11018276,Vision,PREEMPTED,105
11018278,Flight,START,0
11018278,Flight,END,0
11018281,Vision,PREEMPTED,106
11018286,Vision,PREEMPTED,107
11018288,Flight,START,0
11018288,Flight,END,0
11018291,Vision,PREEMPTED,108
11018296,Vision,PREEMPTED,109
11018298,Flight,START,0
11018298,Flight,END,0
11018301,Vision,PREEMPTED,110
11018306,Vision,PREEMPTED,111
11018308,Flight,START,0
11018308,Flight,END,0
11018312,Vision,PREEMPTED,112
11018317,Vision,PREEMPTED,113
11018318,Flight,START,0
11018318,Flight,END,0
11018322,Vision,PREEMPTED,114
11018327,Vision,PREEMPTED,115
11018328,Flight,START,0
11018328,Flight,END,0
11018332,Vision,PREEMPTED,116
11018338,Flight,START,0
11018338,Flight,END,0
11018348,Flight,START,0
11018348,Flight,END,0
11018358,Flight,START,0
11018358,Flight,END,0
11018368,Flight,START,0
11018368,Flight,END,0
11018378,Flight,START,0
11018378,Flight,END,0
11018388,Flight,START,0
11018388,Flight,END,0
11018398,Flight,START,0
11018398,Flight,END,0
11018408,Flight,START,0
11018408,Flight,END,0
11018418,Flight,START,0
11018418,Flight,END,0
11018428,Flight,START,0
11018428,Flight,END,0
11018438,Flight,START,0
11018438,Flight,END,0
11018448,Flight,START,0
11018448,Flight,END,0
11018458,Flight,START,0
11018458,Flight,END,0
11018468,Flight,START,0
11018468,Flight,END,0
11018478,Flight,START,0
11018478,Flight,END,0
11018488,Flight,START,0
11018488,Flight,END,0
11018498,Flight,START,0
11018498,Flight,END,0
11018508,Flight,START,0
11018508,Flight,END,0
11018518,Flight,START,0
11018518,Flight,END,0
11018528,Flight,START,0
11018528,Flight,END,0
11018538,Flight,START,0
11018538,Flight,END,0
11018548,Flight,START,0
11018548,Flight,END,0
11018558,Flight,START,0
11018558,Flight,END,0
11018568,Flight,START,0
11018568,Flight,END,0
11018578,Flight,START,0
11018578,Flight,END,0
11018588,Flight,START,0
11018588,Flight,END,0
11018598,Flight,START,0
11018598,Flight,END,0
11018608,Flight,START,0
11018608,Flight,END,0
11018618,Flight,START,0
11018618,Flight,END,0
11018628,Flight,START,0
11018628,Flight,END,0
11018638,Flight,START,0
11018638,Flight,END,0
11018648,Flight,START,0
11018648,Flight,END,0
11018658,Flight,START,0
